itemid,subitemid,orderid,title/en,description/en,creator#0/en,creator#1/en,location:placename/en,dateCreated:start,dateCreated:end,filetype,format,subjects,subject#0,subject#1,subject#2,subject#3,subject#4,subject#5,filespec,filename,customtext:LCHSObjectID,rights
01-01-001,,,"Moscow, Idaho residences","The C. S. Smith home and a view of Moscow, Idaho looking northeast in 1900.",,,"Moscow, Idaho",1900,,image,image/jpeg,panoramic;Moscow; Idaho; Residential; Rural; Moscow Mountain,Panoramic,Moscow,Idaho,Residential,Rural,Moscow Mountain,01-01-001.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-001.jpg,01-01-001,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-002,,,"Panoramic view of Moscow, Idaho in 1883","Moscow, Idaho in 1883.  Estimated population at the time of this photograph is between 250-300 people.  This photograph looks southeast across Moscow.  

Geographical highlights in this photograph include: Tomers Butte (mountain on left) and Paradise Ridge (right).  The buildings included in this image are: Frie's Brewery, 1882, Corner of Main and A, Commercial Hotel, S.E. corner of Main & A, Wm. J. McConnell Mansion, N.E. corner Adams & 2nd, J. H. McCallie, Doctor of Dental Surgery, First Baptist Church, 1876 (Moscow Idaho's first church), and Chinese gardner's home.  

An image with these locations pointed out is available for research at the Latah County Historical Society in Moscow, Idaho.",,,"Moscow, Idaho",1883,,image,image/jpeg,Moscow; Idaho; Tomer's Butte; Paradise Ridge; Western City,Moscow,Idaho,Tomers Butte,Paradise Ridge,Western City,,01-01-002.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-002.jpg,01-01-002,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-003,,,"Moscow, Idaho in 1893","A panoramic image of Moscow, Idaho taken in 1893 from the original University of Idaho Administration building.  This image was taken from the south wing of the building.",,,"Moscow, Idaho",1893,,image,image/jpeg,University of Idaho;Moscow; Idaho; Panorama,University of Idaho,Moscow,Idaho,Panorama,,,01-01-003.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-003.jpg,01-01-003,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-005,,,"Panoramic view of Moscow, Idaho looking West","Panoramic view of Moscow, Idaho looking west with Pullman road in the background.",,,"Moscow, Idaho",1907,,image,image/jpeg,Moscow; Idaho; Pullman; Washington; Road,Moscow,Idaho,Pullman,Washington,Road,,01-01-005.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-005.jpg,01-01-005,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-006,,,"Panoramic view of Moscow, Idaho looking southeast circa 1907.","A panoramic view of Moscow looking southeast with Tomer's Butte in the background, circa 1907.",,,"Moscow, Idaho",1907,,image,image/jpeg,Moscow; Idaho; Tomer's Butte,Moscow,Idaho,Tomers Butte,,,,01-01-006.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-006.jpg,01-01-006,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-007,,,"Panoramic view of Moscow, Idaho taken from Morrill Hall","A panoramic view of Moscow, Idaho taken from Morrill Hall, circa 1907.",,,"Moscow, Idaho",1907,,image,image/jpeg,Moscow; Idaho; University of Idaho; Morrill Hall,Moscow,Idaho,University of Idaho,Morrill Hall,,,01-01-007.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-007.jpg,01-01-007,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-008,,,"Panoramic view of Moscow, Idaho with the fairgrounds in the foreground, circa 1907","A panoramic view of Moscow, Idaho with the fairgrounds in the foreground (left), circa 1907.",,,"Moscow, Idaho",1907,,image,image/jpeg,Moscow; Idaho; Fairgrounds; Panorama,Moscow,Idaho,Fairgrounds,Panorama,,,01-01-008.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-008.jpg,01-01-008,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-009,,,"No. 22 Birds Eye View of Moscow, Idaho","Panoramic view of Moscow, Idaho looking north.  Visible in this image is the Moscow High School, Moscow First United Methodist Church.  

This image was scanned from a post card stamped June 1, 1915.  The post card was sent to Mr. Earl Crachy of Elk River, Idaho from Victor.  The message reads ""I am having a fine time in Moscow today, wish you were with me. - Victor.""",,,"Moscow, Idaho",1915-06-01,,image,image/jpeg,Moscow; First United Methodist Church; High School; High School,Moscow,First United Methodist Church,High School,High School,,,01-01-009.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-009.jpg,01-01-009,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-010,,,"No. 20 Birds Eye View Business Section Moscow, Idaho","Panoramic view of Moscow, Idaho's business district in 1915.",,,"Moscow, Idaho",1915,,image,image/jpeg,Moscow; Business; McConnell; Residential,Moscow,Business,McConnell,Residential,,,01-01-010.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-010.jpg,01-01-010,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-011,,,"Main Street of Moscow, Idaho looking north in the 1920s","Main Street in Moscow, IDaho showing Gritman Hospital, Potlatch Lumber Company warehouse, Williamsons Department Store and others. Vehicles are shon on main street as well as wide sidewalks with street lights and overhead power.",,,"Moscow, Idaho",1920,1925,image,image/jpeg,Moscow; Main Street; Gritman Hospital; Williamsons Department Store,Moscow,Main Street,Gritman Hospital,Williamsons Department Store,,,01-01-011.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-011.jpg,01-01-011,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
